OPERATORE,DATA,STATO ATTIVAZIONE,COMUNE,PROVINCIA,ETRS89EST,ETRS89NORD
WIND-TRE,2019 August 22,REALIZZATO,POZZUOLO DEL FRIULI,UD,361058.7,5094176
TELECOM ITALIA MOBILE,2019 December 12,DA REALIZZARE,LESTIZZA,UD,355380.4,5092003
WIND-TRE,2020 April 02,DA REALIZZARE,RONCHIS,UD,344665.3,5074887.5
WIND-TRE,2019 December 12,DA REALIZZARE,UDINE,UD,364252.2,5100817.3
ILIAD ITALIA,2019 December 23,DA REALIZZARE,SAN GIOVANNI AL NATISONE,UD,377883.1,5092858.5
ILIAD ITALIA,2018 July 10,REALIZZATO,TRIESTE,TS,403898.9,5055800.6
ILIAD ITALIA,2019 December 23,DA REALIZZARE,LESTIZZA,UD,355791.1,5092060.7
ILIAD ITALIA,2018 July 20,REALIZZATO,TRIESTE,TS,402976.1,5059096.6
ILIAD ITALIA,2018 July 03,REALIZZATO,TRIESTE,TS,407766.4,5052238.4
ILIAD ITALIA,2018 August 03,REALIZZATO,TRIESTE,TS,407602.6,5054630.4
WIND-TRE,2019 December 23,DA REALIZZARE,SAN GIOVANNI AL NATISONE,UD,377883.1,5092858.5
WIND-TRE,2019 December 23,REALIZZATO,CASTIONS DI STRADA,UD,358769.6,5084559.8
ILIAD ITALIA,2018 July 04,REALIZZATO,TRIESTE,TS,404328,5057801.1
ILIAD ITALIA,2019 December 18,DA REALIZZARE,TRIESTE,TS,403964.4,5058038.5
ILIAD ITALIA,2020 March 19,DA REALIZZARE,DOBERDO' DEL LAGO,GO,386125.5,5078070.3
ILIAD ITALIA,2018 July 03,REALIZZATO,TRIESTE,TS,404253.3,5055971.1
ILIAD ITALIA,2019 December 30,DA REALIZZARE,PORCIA,PN,316309.1,5092008.4
WIND-TRE,2019 March 19,REALIZZATO,CASARSA DELLA DELIZIA,PN,332954.8,5091042
WIND-TRE,2019 June 03,REALIZZATO,FONTANAFREDDA,PN,311413.9,5093146.5
WIND-TRE,2019 June 26,REALIZZATO,PORCIA,PN,314559.2,5093259.1
WIND-TRE,2019 June 14,REALIZZATO,PORDENONE,PN,317086.6,5095447.2
WIND-TRE,2019 June 20,REALIZZATO,SACILE,PN,306408.1,5091315.9
TELECOM ITALIA MOBILE,2019 September 17,REALIZZATO,CAVASSO NUOVO,PN,328853,5117326.5
WIND-TRE,2019 April 19,REALIZZATO,ZOPPOLA,PN,327315.7,5092370
WIND-TRE,2019 July 24,REALIZZATO,PORDENONE,PN,319450.7,5091456.9
WIND-TRE,2019 May 07,REALIZZATO,TRIESTE,TS,405937.5,5056992.7
