OPERATORE,DATA,STATO ATTIVAZIONE,COMUNE,PROVINCIA,ETRS89EST,ETRS89NORD
TELECOM ITALIA MOBILE,2014 February 27,REALIZZATO,PINZANO AL TAGLIAMENTO,PN,341422.7,5116403.2
TELECOM ITALIA MOBILE,2014 March 26,REALIZZATO,PORDENONE,PN,318943.9,5093889.1
VODAFONE OMNITEL,2015 June 09,REALIZZATO,SAURIS,UD,328032.7,5147202.2
TELECOM ITALIA MOBILE,2012 July 30,DA REALIZZARE,SAN VITO AL TAGLIAMENTO,PN,333208,5086273.5
VODAFONE OMNITEL,2014 October 16,REALIZZATO,GRADO,GO,374025,5059463
TELECOM ITALIA MOBILE,2018 July 20,REALIZZATO,PULFERO,UD,381194.3,5116272.9
WIND-TRE,2018 March 28,REALIZZATO,MEDEA,GO,377403.5,5086065.9
TELECOM ITALIA MOBILE,2014 September 03,REALIZZATO,GORIZIA,GO,392082.4,5090491.4
VODAFONE OMNITEL,2016 June 17,REALIZZATO,PORDENONE,PN,318044.4,5092790.6
TELECOM ITALIA MOBILE,2013 April 10,DA REALIZZARE,PINZANO AL TAGLIAMENTO,PN,339411.9,5114810.7
WIND-TRE,2018 December 14,REALIZZATO,SAN CANZIAN D'ISONZO,GO,380769.26,5072326.55
VODAFONE OMNITEL,2019 August 26,DA REALIZZARE,CODROIPO,UD,343422.7,5091718.6
TELECOM ITALIA MOBILE,2014 April 09,REALIZZATO,LUSEVERA,UD,366626.3,5126264.5
VODAFONE OMNITEL,2014 September 19,DA REALIZZARE,GORIZIA,GO,392469,5088033
VODAFONE OMNITEL,2015 August 31,REALIZZATO,LUSEVERA,UD,366626.3,5126264.5
TELECOM ITALIA MOBILE,2017 October 19,DA REALIZZARE,POVOLETTO,UD,366454.7,5113491.8
WIND-TRE,2017 July 06,REALIZZATO,SUTRIO,UD,341222.6,5152335
TELECOM ITALIA MOBILE,2017 July 19,REALIZZATO,TRIESTE,TS,408032.5,5054989
VODAFONE OMNITEL,2015 April 09,REALIZZATO,TERZO D'AQUILEIA,UD,370857.2,5072980.6
VODAFONE OMNITEL,2015 March 11,REALIZZATO,PORDENONE,PN,317479.6,5093097.5
VODAFONE OMNITEL,2018 March 19,REALIZZATO,SAN DANIELE DEL FRIULI,UD,345702.1,5114257.9
VODAFONE OMNITEL,2013 November 12,REALIZZATO,MUGGIA,TS,400463.9,5050099.7
ILIAD ITALIA,2019 July 23,DA REALIZZARE,TRIESTE,TS,398175.2,5065483.1
TELECOM ITALIA MOBILE,2014 April 28,REALIZZATO,PORPETTO,UD,358276.1,5079145.9
VODAFONE OMNITEL,2014 June 04,REALIZZATO,SAN GIOVANNI AL NATISONE,UD,376223.1,5092239
TELECOM ITALIA MOBILE,2014 August 04,REALIZZATO,MERETO DI TOMBA,UD,349614.8,5101652.1
WIND-TRE,2002 December 12,REALIZZATO,CASSACCO,UD,358280.3,5113613.3
VODAFONE OMNITEL,2014 November 21,REALIZZATO,TORREANO,UD,378336,5108840
WIND-TRE,2012 December 20,DA REALIZZARE,CORDENONS,PN,321058.9,5093342.1
VODAFONE OMNITEL,2010 December 23,REALIZZATO,MONRUPINO,TS,405683.9,5063214.8
TELECOM ITALIA MOBILE,2015 March 11,REALIZZATO,PORDENONE,PN,320880.9,5091384.4
VODAFONE OMNITEL,2015 June 19,REALIZZATO,CAPRIVA DEL FRIULI,GO,384630.6,5087944.2
VODAFONE OMNITEL,2009 October 30,REALIZZATO,MALBORGHETTO VALBRUNA,UD,383554.2,5151379.8
TELECOM ITALIA MOBILE,2014 May 21,REALIZZATO,AIELLO DEL FRIULI,UD,373072.7,5081744.9
WIND-TRE,2017 May 19,REALIZZATO,FORNI DI SOTTO,UD,320057.5,5140299.1
VODAFONE OMNITEL,2014 March 10,REALIZZATO,GORIZIA,GO,391130.5,5088024.2
ALTRO GESTORE,2006 October 06,REALIZZATO,GORIZIA,GO,390866.4,5088564.2
ALTRO GESTORE,2017 May 03,REALIZZATO,PORDENONE,PN,319196.8,5093668.2
WIND-TRE,2014 May 16,REALIZZATO,MALBORGHETTO VALBRUNA,UD,383938.1,5149513.8
VODAFONE OMNITEL,2017 April 27,REALIZZATO,GRADO,GO,374217.5,5059812.6
TELECOM ITALIA MOBILE,2014 July 09,REALIZZATO,DUINO AURISINA,TS,396347.3,5067220.1
VODAFONE OMNITEL,2015 June 17,REALIZZATO,TRICESIMO,UD,361352.8,5113756.9
WIND-TRE,2012 June 11,DA REALIZZARE,NIMIS,UD,366975.3,5118098.8
TELECOM ITALIA MOBILE,2017 October 26,DA REALIZZARE,CHIUSAFORTE,UD,369982.5,5140560.4
TELECOM ITALIA MOBILE,2014 January 14,REALIZZATO,FLAIBANO,UD,345011.1,5103591.9
TELECOM ITALIA MOBILE,2015 June 30,REALIZZATO,PALAZZOLO DELLO STELLA,UD,351197.7,5074471.8
TELECOM ITALIA MOBILE,2017 March 22,DA REALIZZARE,TRIESTE,TS,403614,5055527.1
VODAFONE OMNITEL,2015 February 19,REALIZZATO,CORDENONS,PN,322021.7,5092528.5
VODAFONE OMNITEL,2015 November 25,DA REALIZZARE,SAN QUIRINO,PN,320622,5099839
TELECOM ITALIA MOBILE,2019 April 02,REALIZZATO,FARRA D'ISONZO,GO,384384.6,5084462.3
VODAFONE OMNITEL,2015 May 15,REALIZZATO,AZZANO DECIMO,PN,322807.6,5083619.4
TELECOM ITALIA MOBILE,2014 April 29,REALIZZATO,GORIZIA,GO,389176.9,5087699
ALTRO GESTORE,2004 January 12,REALIZZATO,DUINO AURISINA,TS,391288.3,5070718.1
WIND-TRE,2014 October 06,REALIZZATO,CORDENONS,PN,323551.9,5095078.1
VODAFONE OMNITEL,2014 August 04,REALIZZATO,CIVIDALE DEL FRIULI,UD,378868.7,5104818.3
WIND-TRE,2017 August 08,REALIZZATO,TRIESTE,TS,408638.4,5052863.4
VODAFONE OMNITEL,2014 November 21,REALIZZATO,CIVIDALE DEL FRIULI,UD,378488.5,5105718.3
ALTRO GESTORE,2006 October 18,REALIZZATO,PORDENONE,PN,319949.4,5093644.4
VODAFONE OMNITEL,2011 August 09,DA REALIZZARE,VISCO,UD,371344.5,5083142.7
VODAFONE OMNITEL,2014 February 27,REALIZZATO,PINZANO AL TAGLIAMENTO,PN,341422.7,5116403.2
VODAFONE OMNITEL,2011 February 04,REALIZZATO,VILLA SANTINA,UD,340304,5141536.6
VODAFONE OMNITEL,2014 August 21,REALIZZATO,MOSSA,GO,387139.6,5089972.1
TELECOM ITALIA MOBILE,2014 November 26,DA REALIZZARE,GEMONA DEL FRIULI,UD,353824.8,5126366.9
TELECOM ITALIA MOBILE,2018 October 02,REALIZZATO,ROMANS D'ISONZO,GO,378727.7,5082073
VODAFONE OMNITEL,2015 December 15,DA REALIZZARE,UDINE,UD,365804.4,5102171.7
WIND-TRE,2019 April 16,DA REALIZZARE,RONCHI DEI LEGIONARI,GO,383054.1,5076652.5
WIND-TRE,2004 July 29,REALIZZATO,CORDENONS,PN,322563.8,5094770
VODAFONE OMNITEL,2018 October 15,DA REALIZZARE,SAN VITO AL TORRE,UD,374185,5084044
WIND-TRE,2017 May 05,REALIZZATO,BASILIANO,UD,355167.1,5100695.7
TELECOM ITALIA MOBILE,2014 March 25,REALIZZATO,BUTTRIO,UD,370615.9,5097210.9
TELECOM ITALIA MOBILE,2019 September 04,DA REALIZZARE,FORGARIA NEL FRIULI,UD,342858.8,5120609.1
TELECOM ITALIA MOBILE,2012 December 04,DA REALIZZARE,AMPEZZO,UD,331011.1,5142683.8
WIND-TRE,2005 January 07,REALIZZATO,AMARO,UD,351831.4,5136583.4
VODAFONE OMNITEL,2014 August 12,REALIZZATO,VENZONE,UD,356634.4,5138594.6
WIND-TRE,2012 March 01,DA REALIZZARE,MALBORGHETTO VALBRUNA,UD,374850,5151243.9
VODAFONE OMNITEL,2014 April 03,DA REALIZZARE,SAN VITO AL TAGLIAMENTO,PN,333784.8,5086996
TELECOM ITALIA MOBILE,2014 March 31,REALIZZATO,CODROIPO,UD,346867.6,5090720
TELECOM ITALIA MOBILE,2017 June 06,DA REALIZZARE,GRADO,GO,377788.6,5059471.3
TELECOM ITALIA MOBILE,2017 March 13,DA REALIZZARE,LATISANA,UD,349875.9,5061805.6
WIND-TRE,2018 February 16,REALIZZATO,MONFALCONE,GO,388026.9,5074326.5
TELECOM ITALIA MOBILE,2015 June 23,REALIZZATO,RIVIGNANO,UD,347761.4,5082101.5
TELECOM ITALIA MOBILE,2014 July 21,REALIZZATO,BRUGNERA,PN,311258.7,5088262
VODAFONE OMNITEL,2015 January 12,REALIZZATO,ERTO E CASSO,PN,298272.8,5127390.6
TELECOM ITALIA MOBILE,2015 May 19,REALIZZATO,AQUILEIA,UD,373255.4,5069243.5
ALTRO GESTORE,2004 February 24,REALIZZATO,TARVISIO,UD,393933.7,5151989.6
TELECOM ITALIA MOBILE,2015 October 01,REALIZZATO,ZOPPOLA,PN,325874.6,5090645.1
TELECOM ITALIA MOBILE,2017 November 27,REALIZZATO,TRIESTE,TS,404222.9,5055311.1
TELECOM ITALIA MOBILE,2017 November 07,DA REALIZZARE,MORSANO AL TAGLIAMENTO,PN,341770.4,5079526.6
WIND-TRE,2018 December 18,REALIZZATO,MONFALCONE,GO,385257.2,5071901.7
VODAFONE OMNITEL,2018 March 07,REALIZZATO,TRIESTE,TS,404262.3,5055899.2
TELECOM ITALIA MOBILE,2006 July 27,REALIZZATO,AZZANO DECIMO,PN,322059.8,5082966.4
TELECOM ITALIA MOBILE,2003 December 05,REALIZZATO,MONFALCONE,GO,385539.4,5070092.4
VODAFONE OMNITEL,2014 September 17,REALIZZATO,CODROIPO,UD,343715.9,5090915.7
ALTRO GESTORE,2004 February 25,REALIZZATO,TARVISIO,UD,391551.8,5150185.6
WIND-TRE,2014 October 27,REALIZZATO,VERZEGNIS,UD,344339,5138872
VODAFONE OMNITEL,2015 August 25,REALIZZATO,CORDENONS,PN,320894,5094459
VODAFONE OMNITEL,2015 October 08,REALIZZATO,MOGGIO UDINESE,UD,360871.9,5140680
VODAFONE OMNITEL,2014 September 01,REALIZZATO,AVIANO,PN,315758.9,5109638.9
WIND-TRE,2016 March 01,DA REALIZZARE,VIVARO,PN,328467.9,5105850
VODAFONE OMNITEL,2014 September 29,REALIZZATO,TRICESIMO,UD,362731.2,5112847.5
ALTRO GESTORE,2017 February 07,DA REALIZZARE,TRIESTE,TS,405450.3,5060117.4
VODAFONE OMNITEL,2014 April 24,REALIZZATO,TARCENTO,UD,361376.1,5117003.6
TELECOM ITALIA MOBILE,2014 May 09,REALIZZATO,FIUME VENETO,PN,323821.5,5087855.3
ALTRO GESTORE,2005 June 27,REALIZZATO,CODROIPO,UD,343049.7,5092126.7
TELECOM ITALIA MOBILE,2018 November 05,REALIZZATO,SAN VITO AL TAGLIAMENTO,PN,335115.8,5086965.8
TELECOM ITALIA MOBILE,2017 March 28,REALIZZATO,TRIESTE,TS,404765,5055838.1
VODAFONE OMNITEL,2015 July 17,REALIZZATO,RIVIGNANO,UD,347761.4,5082101.5
TELECOM ITALIA MOBILE,2015 June 17,REALIZZATO,POVOLETTO,UD,368334.5,5107930.6
VODAFONE OMNITEL,2014 December 18,REALIZZATO,SAN DANIELE DEL FRIULI,UD,345426.8,5112777.3
ILIAD ITALIA,2019 February 19,DA REALIZZARE,UDINE,UD,364250.5,5102802.4
VODAFONE OMNITEL,2015 March 04,REALIZZATO,SAN CANZIAN D'ISONZO,GO,379485.7,5074757.4
VODAFONE OMNITEL,2016 August 03,DA REALIZZARE,FONTANAFREDDA,PN,308615.4,5094777
VODAFONE OMNITEL,2014 April 09,REALIZZATO,AVIANO,PN,314613.1,5103985.4
VODAFONE OMNITEL,2013 June 19,REALIZZATO,LIGNANO SABBIADORO,UD,351567.9,5058930
VODAFONE OMNITEL,2015 September 09,REALIZZATO,POCENIA,UD,353884.7,5081565.3
ALTRO GESTORE,2017 September 20,REALIZZATO,SACILE,PN,306652,5092121.7
TELECOM ITALIA MOBILE,2017 April 05,REALIZZATO,LIGNANO SABBIADORO,UD,353627.4,5059666.5
VODAFONE OMNITEL,2004 May 18,REALIZZATO,FRISANCO,PN,323531,5118797.5
VODAFONE OMNITEL,2014 June 09,REALIZZATO,FARRA D'ISONZO,GO,384384.6,5084462.3
VODAFONE OMNITEL,2014 November 18,DA REALIZZARE,POCENIA,UD,352065,5077875
ALTRO GESTORE,2007 November 28,REALIZZATO,TRIESTE,TS,407964.5,5055583.6
VODAFONE OMNITEL,2014 April 22,REALIZZATO,PALMANOVA,UD,369662.7,5085698.5
TELECOM ITALIA MOBILE,2014 October 27,REALIZZATO,MALBORGHETTO VALBRUNA,UD,380459.8,5151585.4
TELECOM ITALIA MOBILE,2014 August 29,REALIZZATO,MOGGIO UDINESE,UD,360871.9,5140680
ILIAD ITALIA,2018 November 30,DA REALIZZARE,UDINE,UD,364311.8,5106062.4
TELECOM ITALIA MOBILE,2016 August 22,DA REALIZZARE,CIVIDALE DEL FRIULI,UD,383041.1,5106811.8
TELECOM ITALIA MOBILE,2019 April 19,DA REALIZZARE,PASIANO DI PORDENONE,PN,315514.4,5082487.6
VODAFONE OMNITEL,2010 November 16,DA REALIZZARE,PORDENONE,PN,318381.9,5092533.1
VODAFONE OMNITEL,2015 April 23,REALIZZATO,TARVISIO,UD,399621.1,5150155.6
VODAFONE OMNITEL,2015 November 09,DA REALIZZARE,AQUILEIA,UD,373166.5,5069123.7
VODAFONE OMNITEL,2015 December 15,DA REALIZZARE,PONTEBBA,UD,370007,5152091.9
VODAFONE OMNITEL,2015 March 31,REALIZZATO,TARVISIO,UD,393645.2,5153218.6
TELECOM ITALIA MOBILE,2015 June 22,REALIZZATO,CORMONS,GO,381282.7,5090225.1
TELECOM ITALIA MOBILE,2017 May 08,REALIZZATO,UDINE,UD,360659.3,5105209.5
WIND-TRE,2009 May 20,REALIZZATO,TAVAGNACCO,UD,361281.1,5108030.2
WIND-TRE,2017 June 28,REALIZZATO,TRIESTE,TS,409021.4,5053197.8
WIND-TRE,2018 February 23,REALIZZATO,CAPRIVA DEL FRIULI,GO,385114.9,5088562.9
VODAFONE OMNITEL,2015 June 05,REALIZZATO,PORCIA,PN,315473.9,5093242
WIND-TRE,2018 November 05,REALIZZATO,MONFALCONE,GO,386026.04,5072924.72
VODAFONE OMNITEL,2014 January 02,REALIZZATO,CLAUT,PN,308756.3,5126908.5
VODAFONE OMNITEL,2004 September 10,REALIZZATO,MONFALCONE,GO,388202.2,5072783.9
TELECOM ITALIA MOBILE,2013 December 23,REALIZZATO,MALBORGHETTO VALBRUNA,UD,377806.1,5150609.8
WIND-TRE,2017 June 13,REALIZZATO,AVIANO,PN,315758.9,5109638.9
VODAFONE OMNITEL,2014 September 05,REALIZZATO,GRADO,GO,376413.4,5059956.6
TELECOM ITALIA MOBILE,2014 April 03,REALIZZATO,POCENIA,UD,352635.1,5077253.5
ALTRO GESTORE,2006 October 12,REALIZZATO,UDINE,UD,366468.2,5104094.2
TELECOM ITALIA MOBILE,2012 October 08,REALIZZATO,BICINICCO,UD,363630.1,5087830.7
ALTRO GESTORE,2003 December 01,REALIZZATO,TRIESTE,TS,397238.4,5065753.4
VODAFONE OMNITEL,2014 August 12,REALIZZATO,SUTRIO,UD,341222.8,5152335
VODAFONE OMNITEL,2017 November 07,REALIZZATO,RESIA,UD,365315.6,5138531.9
ILIAD ITALIA,2018 June 26,DA REALIZZARE,MUGGIA,TS,400558.6,5050059.3
TELECOM ITALIA MOBILE,2011 July 28,DA REALIZZARE,MONFALCONE,GO,386526,5070927.1
VODAFONE OMNITEL,2015 January 23,REALIZZATO,POLCENIGO,PN,305495.7,5101094.8
VODAFONE OMNITEL,2014 April 17,REALIZZATO,PREMARIACCO,UD,375732.5,5102112.7
ALTRO GESTORE,2008 June 12,REALIZZATO,SAN VITO AL TAGLIAMENTO,PN,333421.6,5086513.2
VODAFONE OMNITEL,2015 July 07,REALIZZATO,FLAIBANO,UD,345011.1,5103591.9
VODAFONE OMNITEL,2008 February 28,REALIZZATO,MONFALCONE,GO,386526,5070927.1
TELECOM ITALIA MOBILE,2014 March 20,REALIZZATO,TRIVIGNANO UDINESE,UD,371899.1,5088741.8
TELECOM ITALIA MOBILE,2015 July 21,REALIZZATO,FIUMICELLO,UD,376187.9,5072511.9
VODAFONE OMNITEL,2014 December 16,REALIZZATO,PORDENONE,PN,318727.2,5091169.2
VODAFONE OMNITEL,2014 September 02,REALIZZATO,MANIAGO,PN,322249,5114519.7
TELECOM ITALIA MOBILE,2017 October 25,REALIZZATO,PORDENONE,PN,319721,5091206.8
TELECOM ITALIA MOBILE,2017 October 16,REALIZZATO,CLAUT,PN,308756.3,5126908.5
TELECOM ITALIA MOBILE,2015 August 31,REALIZZATO,TRIESTE,TS,405244.1,5053087.5
ALTRO GESTORE,2003 September 09,REALIZZATO,CORMONS,GO,380576.7,5090642.4
ILIAD ITALIA,2019 July 31,DA REALIZZARE,DUINO AURISINA,TS,394271,5070373.42
WIND-TRE,2014 June 24,REALIZZATO,AZZANO DECIMO,PN,319055.9,5087049.3
VODAFONE OMNITEL,2014 December 18,REALIZZATO,PASIANO DI PORDENONE,PN,315514.4,5082487.6
VODAFONE OMNITEL,2015 February 02,REALIZZATO,GRADISCA D'ISONZO,GO,381474.6,5082264.4
TELECOM ITALIA MOBILE,2013 June 24,REALIZZATO,AMARO,UD,352004.7,5137210.1
VODAFONE OMNITEL,2015 May 13,REALIZZATO,TRAVESIO,PN,334684.9,5117908.3
TELECOM ITALIA MOBILE,2015 December 10,REALIZZATO,RONCHI DEI LEGIONARI,GO,384230.5,5076385.3
VODAFONE OMNITEL,2009 July 09,REALIZZATO,CHIOPRIS VISCONE,UD,375623.4,5087395.1
TELECOM ITALIA MOBILE,2014 April 03,REALIZZATO,GONARS,UD,364407,5082748.8
VODAFONE OMNITEL,2016 February 23,REALIZZATO,TRIESTE,TS,404613.9,5055877.1
TELECOM ITALIA MOBILE,2019 March 05,REALIZZATO,PAVIA DI UDINE,UD,363951.1,5091029.6
WIND-TRE,2012 September 17,REALIZZATO,GORIZIA,GO,391753.3,5087256
VODAFONE OMNITEL,2015 March 20,REALIZZATO,CASTIONS DI STRADA,UD,359078.1,5086241
ALTRO GESTORE,2007 December 06,REALIZZATO,TRIESTE,TS,406284,5057777
TELECOM ITALIA MOBILE,2017 February 10,REALIZZATO,UDINE,UD,363068.9,5103996.7
WIND-TRE,2017 July 05,REALIZZATO,OVARO,UD,335004.3,5150664.5
WIND-TRE,,REALIZZATO,GRADO,GO,374349.5,5059288.6
VODAFONE OMNITEL,2004 September 07,REALIZZATO,GORIZIA,GO,390400.5,5085334.1
WIND-TRE,2017 May 09,REALIZZATO,RAVEO,UD,336890.2,5144533.8
ALTRO GESTORE,2007 October 24,REALIZZATO,PAVIA DI UDINE,UD,365363.7,5092607.6
TELECOM ITALIA MOBILE,2017 February 07,REALIZZATO,PONTEBBA,UD,370007,5152091.9
VODAFONE OMNITEL,2014 March 25,REALIZZATO,SAN VITO AL TAGLIAMENTO,PN,335599.7,5090190.9
TELECOM ITALIA MOBILE,2017 February 07,REALIZZATO,UDINE,UD,364611.7,5101030.9
TELECOM ITALIA MOBILE,2014 March 07,REALIZZATO,FAEDIS,UD,372286,5112099.8
TELECOM ITALIA MOBILE,2014 November 24,REALIZZATO,MONTENARS,UD,359767.2,5124163.4
VODAFONE OMNITEL,2017 July 11,DA REALIZZARE,TARVISIO,UD,386426,5148678.5
WIND-TRE,2017 June 27,REALIZZATO,TRIESTE,TS,408783.2,5054436.3
WIND-TRE,2017 April 14,REALIZZATO,SPILIMBERGO,PN,337183.1,5109453.2
WIND-TRE,2014 May 19,REALIZZATO,CAVAZZO CARNICO,UD,350512.5,5135147.6
TELECOM ITALIA MOBILE,2017 November 10,REALIZZATO,FONTANAFREDDA,PN,308615.4,5094777
VODAFONE OMNITEL,2016 October 25,DA REALIZZARE,MUGGIA,TS,404335.9,5050557.1
VODAFONE OMNITEL,2014 August 22,REALIZZATO,SAN VITO AL TAGLIAMENTO,PN,332979.8,5087167
TELECOM ITALIA MOBILE,2014 April 04,REALIZZATO,TOLMEZZO,UD,347245.1,5140357
VODAFONE OMNITEL,2015 July 21,REALIZZATO,VENZONE,UD,355967.6,5132004.7
VODAFONE OMNITEL,2016 December 02,DA REALIZZARE,PASIAN DI PRATO,UD,360262.4,5100762.3
ALTRO GESTORE,2014 July 22,REALIZZATO,GORIZIA,GO,392182.4,5087217
VODAFONE OMNITEL,2018 January 26,DA REALIZZARE,CAMPOFORMIDO,UD,361437.8,5099111
TELECOM ITALIA MOBILE,2017 May 10,REALIZZATO,UDINE,UD,365200.4,5098668.3
WIND-TRE,2018 February 15,REALIZZATO,GORIZIA,GO,394143.1,5088457.4
VODAFONE OMNITEL,2014 May 05,REALIZZATO,PORDENONE,PN,319391.9,5089732.2
WIND-TRE,2018 January 30,REALIZZATO,MONFALCONE,GO,386206.5,5074138.3
TELECOM ITALIA MOBILE,2017 March 13,REALIZZATO,LIGNANO SABBIADORO,UD,352001.7,5056795
VODAFONE OMNITEL,2014 January 08,REALIZZATO,MONTEREALE VALCELLINA,PN,317457.7,5112643.4
ALTRO GESTORE,2004 March 12,REALIZZATO,UDINE,UD,364031.7,5101682
TELECOM ITALIA MOBILE,2014 March 21,REALIZZATO,PORDENONE,PN,317815.9,5093560.1
TELECOM ITALIA MOBILE,2014 May 30,REALIZZATO,GORIZIA,GO,392722.5,5088915
ALTRO GESTORE,2007 December 04,REALIZZATO,TRIESTE,TS,407358.3,5054792.1
VODAFONE OMNITEL,2015 December 09,REALIZZATO,BRUGNERA,PN,308643.6,5085763.9
TELECOM ITALIA MOBILE,2014 January 14,REALIZZATO,TAVAGNACCO,UD,361354.8,5106684.8
VODAFONE OMNITEL,2015 June 05,REALIZZATO,MANZANO,UD,374343.6,5093579
VODAFONE OMNITEL,2015 January 23,REALIZZATO,CIVIDALE DEL FRIULI,UD,378706.2,5105877.6
VODAFONE OMNITEL,2014 July 09,REALIZZATO,DUINO AURISINA,TS,396347.3,5067220.1
VODAFONE OMNITEL,2014 February 04,REALIZZATO,REANA DEL ROIALE,UD,364077.6,5112382.7
TELECOM ITALIA MOBILE,2013 July 11,REALIZZATO,GORIZIA,GO,392771.4,5088343
WIND-TRE,2017 July 27,REALIZZATO,TRIESTE,TS,406939,5056476
TELECOM ITALIA MOBILE,2012 June 13,REALIZZATO,MONTEREALE VALCELLINA,PN,319320.1,5113446.7
TELECOM ITALIA MOBILE,2014 February 26,DA REALIZZARE,TARVISIO,UD,391011.8,5151141.9
TELECOM ITALIA MOBILE,2014 April 24,REALIZZATO,TARCENTO,UD,361376.1,5117003.6
TELECOM ITALIA MOBILE,2017 November 16,DA REALIZZARE,UDINE,UD,364225.8,5101621.2
VODAFONE OMNITEL,2015 October 23,REALIZZATO,DUINO AURISINA,TS,396195.3,5066833.1
TELECOM ITALIA MOBILE,2014 March 27,REALIZZATO,MORSANO AL TAGLIAMENTO,PN,339961.5,5080720.1
TELECOM ITALIA MOBILE,2014 April 30,REALIZZATO,BAGNARIA ARSA,UD,367052.3,5081880.7
WIND-TRE,,DA REALIZZARE,AVIANO,PN,313180.1,5104871.9
TELECOM ITALIA MOBILE,2013 January 28,DA REALIZZARE,BUIA,UD,353737.2,5118757.4
VODAFONE OMNITEL,2014 August 21,REALIZZATO,MONFALCONE,GO,385345.5,5072301.3
TELECOM ITALIA MOBILE,2017 May 03,REALIZZATO,UDINE,UD,363444,5105250.6
VODAFONE OMNITEL,2014 June 27,REALIZZATO,UDINE,UD,365200.4,5098668.3
TELECOM ITALIA MOBILE,2013 December 18,REALIZZATO,TAVAGNACCO,UD,362736.4,5108033.4
TELECOM ITALIA MOBILE,2012 June 28,REALIZZATO,PREMARIACCO,UD,375109.6,5100565.6
WIND-TRE,2018 April 18,REALIZZATO,GORIZIA,GO,393541.6,5087728.9
TELECOM ITALIA MOBILE,2017 March 09,REALIZZATO,TRIESTE,TS,405487.8,5056142.7
VODAFONE OMNITEL,2015 August 11,REALIZZATO,BASILIANO,UD,353482.4,5097450.4
VODAFONE OMNITEL,2014 June 20,REALIZZATO,MARTIGNACCO,UD,356305.4,5105656.8
VODAFONE OMNITEL,2016 February 23,REALIZZATO,AVIANO,PN,311328.3,5103493
TELECOM ITALIA MOBILE,2014 July 15,REALIZZATO,PRATA DI PORDENONE,PN,311737.1,5084375.2
TELECOM ITALIA MOBILE,2017 July 31,REALIZZATO,TRIESTE,TS,406689.4,5057024.1
TELECOM ITALIA MOBILE,2014 September 05,REALIZZATO,GRADO,GO,376413.4,5059956.6
VODAFONE OMNITEL,2015 August 04,REALIZZATO,COSEANO,UD,346218.6,5106962.5
WIND-TRE,2010 December 01,REALIZZATO,TRICESIMO,UD,361651.7,5113896.2
WIND-TRE,2018 March 27,REALIZZATO,MONFALCONE,GO,385494.9,5070140
VODAFONE OMNITEL,2018 September 17,REALIZZATO,VALVASONE,PN,335154.9,5092180.3
TELECOM ITALIA MOBILE,2017 March 22,REALIZZATO,LIGNANO SABBIADORO,UD,355430.2,5061310.4
TELECOM ITALIA MOBILE,2014 December 10,REALIZZATO,GORIZIA,GO,393176.3,5088740.6
TELECOM ITALIA MOBILE,2017 April 14,REALIZZATO,TRIESTE,TS,401670.1,5061047.1
VODAFONE OMNITEL,2015 March 12,REALIZZATO,FIUMICELLO,UD,376338.6,5073414.5
TELECOM ITALIA MOBILE,2012 July 09,REALIZZATO,POLCENIGO,PN,308269.2,5099546
WIND-TRE,2017 April 14,REALIZZATO,MEDUNO,PN,329424,5120037.4
WIND-TRE,2017 January 24,REALIZZATO,MOIMACCO,UD,374652.9,5105000
TELECOM ITALIA MOBILE,2013 February 22,DA REALIZZARE,STARANZANO,GO,383710,5073074.9
VODAFONE OMNITEL,2014 September 19,REALIZZATO,GORIZIA,GO,394079.6,5088648.9
TELECOM ITALIA MOBILE,2018 April 10,DA REALIZZARE,UDINE,UD,364948.1,5099806.6
TELECOM ITALIA MOBILE,2014 September 01,REALIZZATO,AVIANO,PN,315758.9,5109638.9
TELECOM ITALIA MOBILE,2008 August 07,DA REALIZZARE,UDINE,UD,363403.3,5102881.2
VODAFONE OMNITEL,2016 January 15,DA REALIZZARE,PORPETTO,UD,358276.1,5079145.9
VODAFONE OMNITEL,2015 March 05,REALIZZATO,CHIONS,PN,325309.1,5080626.3
WIND-TRE,2018 March 28,REALIZZATO,STARANZANO,GO,382997.4,5072563.8
TELECOM ITALIA MOBILE,2017 February 21,REALIZZATO,CHIUSAFORTE,UD,382913.8,5138521.4
WIND-TRE,,REALIZZATO,GORIZIA,GO,392064.3,5088981
VODAFONE OMNITEL,2015 June 30,REALIZZATO,DOBERDO' DEL LAGO,GO,389393.8,5073951.7
TELECOM ITALIA MOBILE,2002 June 11,REALIZZATO,CHIUSAFORTE,UD,365714.9,5139569.4
VODAFONE OMNITEL,2002 June 18,REALIZZATO,ERTO E CASSO,PN,297217.9,5126436.6
TELECOM ITALIA MOBILE,2019 April 09,REALIZZATO,VILLESSE,GO,379181.6,5080168.4
WIND-TRE,2002 April 29,REALIZZATO,TARVISIO,UD,390312.8,5147139.3
ALTRO GESTORE,2003 December 11,REALIZZATO,MONFALCONE,GO,387022.1,5073617
ALTRO GESTORE,2004 August 04,REALIZZATO,TARVISIO,UD,384926.2,5150571.3
WIND-TRE,2017 August 16,REALIZZATO,MUGGIA,TS,400463.9,5050099.7
VODAFONE OMNITEL,2015 September 15,DA REALIZZARE,MERETO DI TOMBA,UD,351355.9,5102912.4
WIND-TRE,2017 August 10,REALIZZATO,TRIESTE,TS,407231.7,5053327.4
VODAFONE OMNITEL,2015 June 11,DA REALIZZARE,VERZEGNIS,UD,345605.9,5138606.3
